Age,Education Level,Gender,College GPA (/4),A Level Result (/5),Age Started Gaming,Mobile or PC,Sleep Time,Attend Morning Class,Average Gaming Time (hrs/day),Game Played,Read Newspaper,Paid or Unpaid Game,Time with Family and Friends,Feelings Without Gaming in a Day,Feelings After Completing Level,Fatigue,Gaming for Stress Relief,Glasses
29,Master's Level,Female,3.3,4.51,22,PC,22,Yes,6,FREE FIRE,Not regular,Paid,3,negative,Bored,No,Yes,Yes
21,Bachelor Level,Male,3.71,3.33,21,PC,22,No,6,PES,Regular,Paid,3,negative,Excited,Yes,No,Yes
29,Master's Level,Female,3.04,4.55,20,PC,23,Yes,4,IGA,Not regular,Paid,2,negative,Excited,Yes,Yes,No
28,Master's Level,Female,3.11,4.36,18,PC,1,Yes,5,PUBG,Not regular,Paid,2,negative,Bored,No,No,Yes
25,Bachelor Level,Male,2.69,3.68,16,PC,0,Yes,3,FREE FIRE,Not regular,Paid,1,negative,Bored,Yes,No,No
20,Bachelor Level,Female,3.94,4.25,18,PC,23,Yes,3,PUBG,Not regular,Paid,2,positive,Bored,No,Yes,No
30,Master's Level,Male,3.24,4.6,17,PC,0,No,2,PUBG,Regular,Paid,2,negative,Excited,Yes,No,Yes
28,Master's Level,Male,3.28,4.81,17,PC,0,Yes,6,IGA,Not regular,Paid,3,negative,Bored,No,Yes,Yes
20,Bachelor Level,Male,3.91,5,20,Mobile,0,Yes,4,PES,Not regular,Paid,2,positive,Bored,Yes,Yes,Yes
21,Bachelor Level,Female,2.68,3.76,23,Mobile,23,No,3,FREE FIRE,Not regular,Paid,2,negative,Bored,Yes,Yes,Yes
24,Bachelor Level,Female,4,3,22,Mobile,0,Yes,3,PUBG,Regular,Paid,3,negative,Excited,Yes,No,Yes
24,Bachelor Level,Female,3.02,3.11,18,PC,0,Yes,4,IGA,Not regular,Paid,1,negative,Excited,Yes,Yes,Yes
23,Bachelor Level,Female,3.85,3.95,18,PC,1,No,4,FREE FIRE,Regular,Paid,2,negative,Bored,Yes,No,Yes
30,Master's Level,Male,3.85,3.34,17,PC,0,No,3,CALL OF DUTY,Regular,Paid,2,negative,Bored,No,No,No
27,Master's Level,Male,3.58,4.81,24,PC,1,No,4,PES,Regular,Paid,2,negative,Bored,Yes,Yes,No
21,Bachelor Level,Male,3.54,4.51,16,Mobile,23,No,6,FIFA,Not regular,Paid,3,negative,Excited,No,Yes,No
24,Bachelor Level,Male,2.94,4.9,20,Mobile,22,No,5,FREE FIRE,Regular,Paid,1,negative,Excited,Yes,Yes,No
26,Master's Level,Female,2.34,4.51,23,PC,23,No,4,COC,Regular,Paid,3,positive,Excited,No,Yes,Yes
28,Master's Level,Female,2.7,4,22,PC,22,No,4,PUBG,Regular,Paid,3,negative,Bored,No,Yes,Yes
30,Master's Level,Male,3.87,4.2,20,PC,2,Yes,4,COC,Not regular,Paid,2,negative,Bored,No,Yes,No
23,Bachelor Level,Female,3.08,3.51,23,Mobile,22,No,5,PES,Regular,Paid,3,positive,Bored,No,No,Yes
30,Master's Level,Female,3.84,4.83,18,Mobile,22,No,4,COC,Not regular,Paid,2,negative,Bored,No,Yes,No
27,Master's Level,Male,3.09,4,19,Mobile,2,No,6,PES,Not regular,Paid,1,negative,Bored,Yes,No,No
20,Bachelor Level,Female,3.06,4.5,24,Mobile,23,Yes,2,FREE FIRE,Not regular,Paid,3,negative,Excited,Yes,No,No
25,Bachelor Level,Male,3.33,4.5,23,Mobile,1,Yes,3,PUBG,Not regular,Paid,1,negative,Excited,Yes,Yes,Yes
22,Bachelor Level,Female,2.99,4.81,17,PC,23,Yes,6,FREE FIRE,Regular,Paid,1,negative,Bored,No,No,Yes
21,Bachelor Level,Male,3.78,4.1,24,Mobile,0,Yes,6,PUBG,Regular,Paid,2,positive,Excited,No,No,No
21,Bachelor Level,Female,2.72,5,16,PC,1,Yes,2,FIFA,Regular,Paid,2,negative,Excited,Yes,Yes,No
29,Master's Level,Female,3.17,3.69,20,Mobile,0,No,3,FREE FIRE,Regular,Paid,1,negative,Excited,No,No,No
27,Master's Level,Male,3.57,4.52,17,Mobile,22,Yes,2,CALL OF DUTY,Regular,Paid,1,negative,Bored,No,No,No
25,Bachelor Level,Female,4,4.41,22,PC,23,Yes,5,IGA,Not regular,Paid,1,positive,Bored,Yes,No,No
26,Master's Level,Female,2.68,4.49,23,PC,22,No,3,FREE FIRE,Regular,Paid,2,negative,Bored,No,Yes,No
24,Bachelor Level,Female,2.84,4.45,18,Mobile,1,No,4,CALL OF DUTY,Regular,Paid,2,negative,Bored,Yes,Yes,Yes
30,Master's Level,Female,3.21,3.77,16,Mobile,0,Yes,4,COC,Regular,Paid,2,negative,Bored,Yes,No,Yes
25,Bachelor Level,Male,2.94,4.53,17,PC,23,Yes,6,IGA,Regular,Paid,1,negative,Bored,No,No,Yes
23,Bachelor Level,Male,3.46,3.62,21,PC,2,Yes,6,FREE FIRE,Regular,Paid,1,negative,Bored,No,No,Yes
21,Bachelor Level,Male,3.34,4,22,PC,1,No,3,CALL OF DUTY,Not regular,Paid,3,negative,Bored,Yes,No,Yes
23,Bachelor Level,Male,2.9,3.33,20,PC,1,No,4,COC,Not regular,Paid,2,negative,Bored,Yes,Yes,Yes
20,Bachelor Level,Male,2.32,4.2,20,Mobile,1,Yes,3,FIFA,Not regular,Paid,1,negative,Excited,Yes,Yes,No
22,Bachelor Level,Female,3.5,3.52,22,PC,1,No,5,FREE FIRE,Regular,Paid,3,negative,Bored,Yes,No,Yes
21,Bachelor Level,Male,2.83,4.6,19,PC,22,No,3,PES,Regular,Paid,3,negative,Bored,No,No,No
26,Master's Level,Female,2.62,3.29,22,PC,1,No,5,CALL OF DUTY,Not regular,Paid,2,negative,Excited,Yes,No,No
30,Master's Level,Female,2.74,3.81,24,PC,2,Yes,5,CALL OF DUTY,Not regular,Paid,1,positive,Bored,Yes,Yes,Yes
29,Master's Level,Female,3.28,4.79,20,Mobile,22,Yes,3,COC,Regular,Paid,2,positive,Excited,Yes,No,Yes
27,Master's Level,Female,2.73,4.33,16,PC,23,No,5,PES,Not regular,Paid,3,positive,Excited,Yes,Yes,No
21,Bachelor Level,Female,3.52,4.82,23,PC,2,No,6,FREE FIRE,Not regular,Paid,3,negative,Bored,Yes,Yes,Yes
28,Master's Level,Male,3.79,3.87,16,Mobile,23,No,4,CALL OF DUTY,Not regular,Paid,3,negative,Excited,No,Yes,Yes
20,Bachelor Level,Female,3.73,4.85,18,Mobile,23,Yes,3,FIFA,Not regular,Paid,2,negative,Bored,No,Yes,Yes
