title,score,scored_by,rank,popularity,members,favorites,episodes,type,source,status,year,season,rating,duration,genres,themes,demographics,studios,producers,licensors
Black Clover: Sword of the Wizard King,7.98,124029,766.0,1042,273082,2806,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 53 min,"Action, Comedy, Fantasy",,Shounen,Studio Pierrot,Shochiku,
My Hero Academia Season 3,7.98,1568425,767.0,25,2395870,12470,25.0,TV,Manga,Finished Airing,2018.0,spring,PG-13 - Teens 13 or older,23 min per ep,Action,"School, Super Power",Shounen,Bones,"Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Funimation
Bungo Stray Dogs Wan!,7.98,58463,768.0,1941,136118,1189,12.0,TV,Web manga,Finished Airing,2021.0,winter,PG-13 - Teens 13 or older,11 min per ep,Comedy,,,"Bones, Nomad","Lantis, Kadokawa",
Dragon Ball,7.98,729409,769.0,153,1146031,18078,153.0,TV,Manga,Finished Airing,1986.0,winter,PG-13 - Teens 13 or older,24 min per ep,"Action, Adventure, Comedy, Fantasy",Martial Arts,Shounen,Toei Animation,Fuji TV,Funimation
ef - a tale of melodies.,7.98,69677,770.0,1625,171060,1717,12.0,TV,Visual novel,Finished Airing,2008.0,fall,PG-13 - Teens 13 or older,24 min per ep,"Drama, Mystery, Romance, Supernatural",,,Shaft,"ASCII Media Works, Geneon Entertainment",Sentai Filmworks
Time of Eve (ONA),7.98,82172,771.0,1431,196669,1254,6.0,ONA,Original,Finished Airing,,,PG-13 - Teens 13 or older,18 min per ep,"Sci-Fi, Slice of Life",,,Studio Rikka,"Directions, Code, Trick Block",AnimEigo
Honey and Clover,7.98,87136,772.0,988,286282,4215,24.0,TV,Manga,Finished Airing,2005.0,spring,PG-13 - Teens 13 or older,23 min per ep,"Comedy, Drama, Romance","Adult Cast, Love Polygon, Visual Arts",Josei,J.C.Staff,"Aniplex, Dentsu, Genco, Fuji TV, Asmik Ace, Shueisha","VIZ Media, Discotek Media"
The World God Only Knows: Goddesses,7.98,203769,773.0,753,368131,2135,12.0,TV,Manga,Finished Airing,2013.0,summer,PG-13 - Teens 13 or older,24 min per ep,"Comedy, Romance, Supernatural","Harem, Otaku Culture, School",Shounen,Manglobe,"TV Tokyo, Geneon Universal Entertainment, Shogakukan, Imagine",Sentai Filmworks
The Garden of Sinners: Future Gospel,7.98,58193,774.0,2039,126686,284,1.0,Movie,Light novel,Finished Airing,,,R - 17+ (violence & profanity),1 hr 30 min,"Drama, Mystery, Supernatural",,,ufotable,"Aniplex, Kodansha, Seikaisha, Notes",Aniplex of America
Kimi ni Todoke: From Me to You Season 2,7.98,321814,775.0,454,560746,1929,12.0,TV,Manga,Finished Airing,2011.0,winter,PG-13 - Teens 13 or older,23 min per ep,"Drama, Romance",School,Shoujo,Production I.G,"VAP, Nippon Television Network, Shueisha",NIS America
Ruri Rocks,7.98,30998,776.0,2547,92025,474,13.0,TV,Manga,Finished Airing,2025.0,summer,PG-13 - Teens 13 or older,23 min per ep,Slice of Life,"CGDCT, Educational",Seinen,Studio Bind,"Aniplex, Movic, AT-X, Tokyo MX, BS11, Egg Firm, FuRyu, Kadokawa, Bit grooove promotion",
Attack on Titan: The Roar of Awakening,7.98,28601,777.0,2677,85681,107,1.0,Movie,Manga,Finished Airing,,,R - 17+ (violence & profanity),2 hr,"Action, Drama, Suspense","Gore, Survival",Shounen,Wit Studio,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprises",Funimation
Treasure Island,7.98,8031,778.0,5071,25116,325,26.0,TV,Novel,Finished Airing,1978.0,fall,PG-13 - Teens 13 or older,24 min per ep,"Adventure, Drama, Mystery",Historical,,Tokyo Movie Shinsha,Madhouse,Discotek Media
Wolf's Rain OVA,7.98,37865,779.0,2838,77331,430,4.0,OVA,Original,Finished Airing,,,PG-13 - Teens 13 or older,23 min per ep,"Action, Adventure, Drama, Fantasy",,,Bones,"Bandai Visual, Victor Entertainment, Asatsu DK","Funimation, Bandai Entertainment"
Zombie Land Saga Revenge,7.98,97753,780.0,1191,239416,1629,12.0,TV,Original,Finished Airing,2021.0,spring,R - 17+ (violence & profanity),23 min per ep,"Comedy, Supernatural","Idols (Female), Music, Parody",,MAPPA,"AT-X, Avex Pictures, CyberAgent, dugout",Funimation
Snow White with the Red Hair 2,7.97,216664,781.0,702,391821,1803,12.0,TV,Manga,Finished Airing,2016.0,winter,PG-13 - Teens 13 or older,24 min per ep,"Drama, Romance",Medical,Shoujo,Bones,"Hakusensha, Warner Bros. Japan, KlockWorx, Showgate, BS Fuji, Docomo Anime Store, Hakuhodo DY Media Partners",Funimation
Durarara!! x2 Shou,7.97,263637,782.0,510,515204,1015,12.0,TV,Light novel,Finished Airing,2015.0,winter,R - 17+ (violence & profanity),24 min per ep,"Action, Mystery, Supernatural",,,Shuka,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, ASCII Media Works",Aniplex of America
Ponyo,7.97,434726,783.0,375,659114,5126,1.0,Movie,Original,Finished Airing,,,G - All Ages,1 hr 40 min,"Adventure, Award Winning, Fantasy",,,Studio Ghibli,"Dentsu, d-rights, TOHO","Disney Platform Distribution, GKIDS"
Girls und Panzer das Finale – Part 1,7.97,28730,784.0,3294,59233,152,1.0,Movie,Original,Finished Airing,,,PG-13 - Teens 13 or older,47 min,,"CGDCT, Military, School",,Actas,"Bandai Visual, Lantis, Movic, Q-Tec, Hakuhodo DY Music & Pictures",Sentai Filmworks
Mobile Suit Gundam Thunderbolt: December Sky,7.97,15777,785.0,4768,29028,222,1.0,Movie,Manga,Finished Airing,,,R - 17+ (violence & profanity),1 hr 9 min,"Drama, Sci-Fi","Mecha, Military, Space",Seinen,Sunrise,,NYAV Post
The File of Young Kindaichi,7.97,8749,786.0,4293,36706,285,148.0,TV,Manga,Finished Airing,1997.0,spring,R - 17+ (violence & profanity),24 min per ep,Mystery,,Shounen,Toei Animation,"Dentsu, Yomiuri Telecasting",
Komi Can't Communicate Season 2,7.97,284825,787.0,448,562210,4014,12.0,TV,Manga,Finished Airing,2022.0,spring,PG-13 - Teens 13 or older,23 min per ep,Comedy,School,Shounen,OLM,"TV Tokyo, Dentsu, Shogakukan-Shueisha Productions, Half H.P Studio, Nippon Columbia",
Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven,7.97,11851,788.0,4503,32942,47,1.0,OVA,Manga,Finished Airing,,,R - 17+ (violence & profanity),2 hr 41 min,Sci-Fi,"Adult Cast, Mecha",,Production I.G,"Bandai Visual, Tokuma Shoten, Fonishia","Bandai Entertainment, Manga Entertainment"
Porco Rosso,7.97,182079,789.0,975,290031,2550,1.0,Movie,Manga,Finished Airing,,,G - All Ages,1 hr 33 min,"Action, Adventure, Award Winning, Comedy, Drama, Romance","Historical, Military",,Studio Ghibli,"Tokuma Shoten, Nippon Television Network","Disney Platform Distribution, GKIDS"
Ranma ½ (2024),7.97,87318,790.0,1596,173972,1318,12.0,TV,Manga,Finished Airing,2024.0,fall,PG-13 - Teens 13 or older,22 min per ep,"Action, Comedy, Romance, Ecchi","Magical Sex Shift, Martial Arts, School",Shounen,MAPPA,"Shogakukan-Shueisha Productions, Nippon Television Network, Shogakukan, dugout",
School Rumble: 2nd Semester,7.97,95856,791.0,1612,172663,842,26.0,TV,Manga,Finished Airing,2006.0,spring,PG-13 - Teens 13 or older,24 min per ep,"Comedy, Romance","Gag Humor, Love Polygon, School",Shounen,Studio Comet,"Sotsu, Marvelous Entertainment",Funimation
Food Wars! The Third Plate,7.97,633043,792.0,179,1045641,2650,12.0,TV,Manga,Finished Airing,2017.0,fall,PG-13 - Teens 13 or older,24 min per ep,"Gourmet, Ecchi",School,Shounen,J.C.Staff,"Lantis, Warner Bros. Japan, KlockWorx, Shueisha",Sentai Filmworks
Umamusume: Pretty Derby - Road to the Top (Movie),7.97,11740,793.0,5406,21478,87,1.0,Movie,Game,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 39 min,Sports,"Anthropomorphic, Racing",,CygamesPictures,,
xxxHOLiC,7.97,128499,794.0,794,350078,4913,24.0,TV,Manga,Finished Airing,2006.0,spring,PG-13 - Teens 13 or older,24 min per ep,"Comedy, Drama, Mystery, Supernatural",,Seinen,Production I.G,"TBS, BMG Japan, Kids Station, Kodansha, Movic, Fonishia",Funimation
A Will Eternal,7.97,6266,795.0,5189,23640,248,52.0,ONA,Web novel,Finished Airing,,,PG-13 - Teens 13 or older,19 min per ep,"Action, Adventure, Comedy, Fantasy","Historical, Martial Arts",,B.CMAY PICTURES,Tencent Video,
Sailor Moon Sailor Stars,7.96,60981,796.0,2089,122982,1291,34.0,TV,Manga,Finished Airing,1996.0,spring,PG-13 - Teens 13 or older,24 min per ep,"Adventure, Comedy, Drama, Romance",Mahou Shoujo,Shoujo,Toei Animation,"TV Asahi, Toei Advertising",VIZ Media
Code Geass: Lelouch of the Rebellion III - Glorification,7.96,40411,797.0,2340,105133,160,1.0,Movie,Original,Finished Airing,,,R - 17+ (violence & profanity),2 hr 20 min,Sci-Fi,"Mecha, Military, School, Super Power",,Sunrise,,Funimation
Durarara!! x2 Ten,7.96,213944,799.0,643,422269,774,12.0,TV,Light novel,Finished Airing,2015.0,summer,R - 17+ (violence & profanity),24 min per ep,"Action, Mystery, Supernatural",,,Shuka,Aniplex,Aniplex of America
Girls Band Cry Movie,7.96,583,800.0,7475,9468,26,2.0,Movie,Original,Finished Airing,,,PG-13 - Teens 13 or older,2 hr per ep,Drama,Music,,Toei Animation,TOHO animation,
Hidamari Sketch x Honeycomb,7.96,11591,801.0,4858,27822,186,12.0,TV,4-koma manga,Finished Airing,2012.0,fall,PG-13 - Teens 13 or older,24 min per ep,Slice of Life,"CGDCT, Iyashikei, School, Visual Arts",,Shaft,"Aniplex, Lantis, TBS, Movic, Houbunsha, Grooove",Sentai Filmworks
Ascendance of a Bookworm,7.96,193574,803.0,733,378048,3469,14.0,TV,Light novel,Finished Airing,2019.0,fall,PG-13 - Teens 13 or older,23 min per ep,Fantasy,"Isekai, Reincarnation",,Ajia-do,"WOWOW, Genco, MediaNet, KlockWorx, flying DOG, BS Fuji, Yomiuri TV Enterprise, ABC Animation, Happinet, Tokyo Animator Gakuin, TO Books, JTB Next Creation","Sentai Filmworks, Crunchyroll"
Kakushigoto,7.96,149525,804.0,780,355226,2156,12.0,TV,Manga,Finished Airing,2020.0,spring,PG-13 - Teens 13 or older,23 min per ep,Comedy,"Childcare, Gag Humor, Otaku Culture",Shounen,Ajia-do,"Dentsu, Marvelous Entertainment, Kodansha, AT-X, Studio Mausu, Tokyo MX, Avex Pictures, A-Sketch",Funimation
Mobile Suit Gundam Thunderbolt,7.96,31922,805.0,3135,65121,480,4.0,ONA,Manga,Finished Airing,,,R - 17+ (violence & profanity),18 min per ep,"Drama, Sci-Fi","Mecha, Military, Space",Seinen,Sunrise,,
Kizumonogatari: Koyomi Vamp,7.96,4148,806.0,5268,22898,115,1.0,Movie,Light novel,Finished Airing,,,R - 17+ (violence & profanity),2 hr 24 min,"Action, Mystery, Supernatural",Vampire,,Shaft,Aniplex,Aniplex of America
Magical Girl Lyrical Nanoha A's,7.96,35491,808.0,3019,69701,1025,13.0,TV,Original,Finished Airing,2005.0,fall,PG-13 - Teens 13 or older,25 min per ep,"Action, Comedy, Drama",Mahou Shoujo,,Seven Arcs,"Starchild Records, Omnibus Promotion","Discotek Media, Geneon Entertainment USA"
Big Windup! 2,7.96,24260,809.0,3740,47810,191,13.0,TV,Manga,Finished Airing,2010.0,spring,PG-13 - Teens 13 or older,24 min per ep,Sports,Team Sports,Seinen,A-1 Pictures,"Aniplex, Mainichi Broadcasting System, TBS, Kodansha, Movic, Rakuonsha",Nozomi Entertainment
ReLIFE,7.96,636590,810.0,151,1147495,10891,13.0,TV,Web manga,Finished Airing,2016.0,summer,PG-13 - Teens 13 or older,23 min per ep,"Drama, Romance",School,,TMS Entertainment,"Aniplex, Half H.P Studio, comico, Hakuhodo DY Media Partners, Lawson, C & I entertainment, TMS Music","Funimation, Crunchyroll"
Samurai X: Reflection,7.96,48518,811.0,2585,89913,389,2.0,OVA,Manga,Finished Airing,,,R - 17+ (violence & profanity),41 min per ep,"Drama, Romance","Historical, Samurai",Shounen,Studio Deen,SME Visual Works,"ADV Films, Aniplex of America"
All Saints Street,7.96,12581,812.0,4487,33298,513,12.0,ONA,Web manga,Finished Airing,,,PG-13 - Teens 13 or older,4 min per ep,"Comedy, Fantasy","Mythology, Urban Fantasy",,"Fenz, HMCH","Tencent Video, Tianwen Kadokawa Animation & Comics",Aniplex of America
Saga of Tanya the Evil,7.96,567323,813.0,177,1053936,13874,12.0,TV,Light novel,Finished Airing,2017.0,winter,R - 17+ (violence & profanity),23 min per ep,"Action, Fantasy","Isekai, Military, Reincarnation",,Nut,"AT-X, Enterbrain, Sony Music Communications, Kadokawa","Funimation, Crunchyroll"
Aria the Origination Episode 5.5: That Little Secret Place…,7.95,10669,814.0,5176,23834,29,1.0,Special,Manga,Finished Airing,,,G - All Ages,24 min,Slice of Life,Iyashikei,Shounen,HAL Film Maker,"TV Tokyo, Media Factory, Shochiku, Mag Garden",Nozomi Entertainment
BanG Dream! Film Live 2nd Stage,7.95,3508,815.0,7349,9928,39,1.0,Movie,Mixed media,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 44 min,,Music,,SANZIGEN,,
Crayon Shin-chan: The Storm Called - The Adult Empire Strikes Back,7.95,6983,816.0,6442,13604,134,1.0,Movie,Manga,Finished Airing,,,G - All Ages,1 hr 29 min,"Comedy, Sci-Fi",,Seinen,Shin-Ei Animation,"TV Asahi, Asatsu DK",
Time of Eve (Movie),7.95,58369,817.0,1990,131320,595,1.0,Movie,Original,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 46 min,"Sci-Fi, Slice of Life",,,Studio Rikka,"Directions, Code","AnimEigo, NYAV Post, Pied Piper"
A Record Of Mortal's Journey To Immortality: Speeding in the Sea of Stars Prologue,7.95,13187,818.0,6204,14962,14,4.0,ONA,Web novel,Finished Airing,,,PG-13 - Teens 13 or older,23 min per ep,"Action, Adventure, Fantasy","Historical, Martial Arts",,"Original Force, Wonder Cat Animation",bilibili,
Galaxy Warring State Chronicle Rai,7.95,5701,819.0,5776,18054,95,52.0,TV,Manga,Finished Airing,1994.0,spring,PG-13 - Teens 13 or older,25 min per ep,"Adventure, Romance, Sci-Fi",Space,Shounen,E&G Films,"TV Tokyo, SoftX, Arts Pro",Enoki Films
Hi Score Girl: Extra Stage,7.95,51006,820.0,2738,82520,177,3.0,OVA,Manga,Finished Airing,,,PG-13 - Teens 13 or older,25 min per ep,"Comedy, Romance","Love Polygon, School, Video Game",Seinen,J.C.Staff,Warner Bros. Japan,
IDOLiSH7 Vibrato,7.95,7015,821.0,5781,18046,105,8.0,ONA,Game,Finished Airing,,,PG-13 - Teens 13 or older,14 min per ep,Drama,"Idols (Male), Music",,TROYCA,,
Toilet-Bound Hanako-kun Season 2,7.95,32307,822.0,2358,104160,722,12.0,TV,Manga,Finished Airing,2025.0,winter,PG-13 - Teens 13 or older,23 min per ep,Supernatural,School,Shounen,Lerche,"Square Enix, Studio Hibari, Pony Canyon, TBS, Movic, Half H.P Studio, Crunchyroll, Contents Seed, Gloria",
Les Misérables: Shoujo Cosette,7.95,10851,823.0,4416,34604,320,52.0,TV,Novel,Finished Airing,2007.0,winter,G - All Ages,24 min per ep,Drama,Historical,,Nippon Animation,,
Macross Frontier: The Wings of Farewell,7.95,14690,824.0,4714,29961,142,1.0,Movie,Original,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 54 min,"Award Winning, Romance, Sci-Fi","Mecha, Military, Music, Space",,Satelight,"Bandai Visual, Big West, KlockWorx, Bandai Namco Games",
Major Movie: Yuujou no Winning Shot,7.95,12133,825.0,5322,22371,23,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 43 min,Sports,Team Sports,Shounen,Xebec,"Avex Entertainment, Shogakukan-Shueisha Productions, NHK, TOHO, Mainichi Shimbun",
Sleepy Princess in the Demon Castle,7.95,114469,826.0,1137,251632,2582,12.0,TV,Manga,Finished Airing,2020.0,fall,PG-13 - Teens 13 or older,23 min per ep,"Comedy, Fantasy",Parody,Shounen,Doga Kobo,"Lantis, FuRyu",Funimation
Throne of Seal The Movie: The Crownless God,7.95,463,827.0,13525,1577,8,1.0,ONA,Web novel,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 30 min,"Action, Adventure, Fantasy",,,Shenman Entertainment,Tencent Video,
The Prince of Tennis: The National Tournament Finals,7.95,20720,828.0,4160,39268,52,7.0,OVA,Manga,Finished Airing,,,PG-13 - Teens 13 or older,23 min per ep,Sports,,Shounen,M.S.C,"Production I.G, TV Tokyo, Bandai Visual, Marvelous Entertainment, Nihon Ad Systems, Shueisha",
The Quintessential Quintuplets~,7.94,40975,829.0,2412,99965,618,2.0,TV Special,Manga,Finished Airing,,,PG-13 - Teens 13 or older,24 min per ep,"Comedy, Romance","Harem, School",Shounen,Shaft,"Pony Canyon, TBS, Kodansha, Bushiroad, BS11, Nichion, GYAO!, Good Smile Film, MAGNET",
Akane-banashi,7.94,18574,830.0,3073,67373,156,12.0,TV,Manga,Finished Airing,2026.0,spring,PG-13 - Teens 13 or older,24 min per ep,Drama,Performing Arts,Shounen,Zexcs,"Aniplex, TV Asahi, Shueisha, AbemaTV, Bit grooove promotion, BS Asahi, TV Asahi Music",
Soul Land,7.94,13777,831.0,4413,34613,630,26.0,ONA,Novel,Finished Airing,,,PG-13 - Teens 13 or older,20 min per ep,"Action, Adventure, Fantasy, Romance","Historical, Martial Arts, Reincarnation",,Sparkly Key Animation Studio,Tencent Video,
Fate/Grand Order: Absolute Demonic Front - Babylonia,7.94,149326,832.0,904,315211,2665,21.0,TV,Game,Finished Airing,2019.0,fall,PG-13 - Teens 13 or older,23 min per ep,"Action, Fantasy",Isekai,,CloverWorks,"Aniplex, Notes, Delightworks",Aniplex of America
Looking for the Full Moon,7.94,50029,833.0,2153,118365,1932,52.0,TV,Manga,Finished Airing,2002.0,spring,PG-13 - Teens 13 or older,24 min per ep,"Comedy, Drama, Romance, Supernatural","Music, Showbiz",Shoujo,Studio Deen,"TV Tokyo, Nihon Ad Systems","VIZ Media, AnimEigo"
Hi Score Girl II,7.94,89108,834.0,1771,152067,904,9.0,TV,Manga,Finished Airing,2019.0,fall,PG-13 - Teens 13 or older,23 min per ep,"Comedy, Romance","Love Polygon, School, Video Game",Seinen,J.C.Staff,"Square Enix, Mainichi Broadcasting System, Magic Capsule, Warner Bros. Japan, KlockWorx, Good Smile Company",
Kanon,7.94,143155,835.0,965,292831,4553,24.0,TV,Visual novel,Finished Airing,2006.0,fall,PG-13 - Teens 13 or older,24 min per ep,"Drama, Romance, Supernatural",,,Kyoto Animation,"Pony Canyon, TBS, Movic","ADV Films, Funimation"
Kobato.,7.94,64480,836.0,1568,177932,1616,24.0,TV,Manga,Finished Airing,2009.0,fall,PG-13 - Teens 13 or older,24 min per ep,"Drama, Romance, Supernatural",,,Madhouse,"NHK, Kadokawa Shoten, NHK-BS2, KlockWorx, flying DOG",Sentai Filmworks
Kono Oto Tomare!: Sounds of Life,7.94,138661,837.0,783,353808,2831,13.0,TV,Manga,Finished Airing,2019.0,spring,PG-13 - Teens 13 or older,23 min per ep,Drama,"Music, Performing Arts, School",Shounen,Platinum Vision,"WOWOW, Movic, KlockWorx, Memory-Tech, King Records, Shueisha, Pony Canyon Enterprises",Funimation
Non Non Biyori,7.94,186280,839.0,584,456823,6552,12.0,TV,Manga,Finished Airing,2013.0,fall,PG-13 - Teens 13 or older,24 min per ep,Slice of Life,"CGDCT, Iyashikei, School",Seinen,SILVER LINK.,"TV Tokyo, Lantis, Media Factory, Kadokawa Shoten, AT-X, Sony Music Communications",Sentai Filmworks
Noragami,7.94,1350028,840.0,28,2325675,34728,12.0,TV,Manga,Finished Airing,2014.0,winter,PG-13 - Teens 13 or older,24 min per ep,"Action, Supernatural",Mythology,Shounen,Bones,"Avex Entertainment, Dentsu, Shochiku, Kodansha, Movic, Ai Addiction, Lawson HMV Entertainment, A-Sketch",Funimation
Rising Impact Season 2,7.94,9558,841.0,6100,15707,52,14.0,ONA,Manga,Finished Airing,,,PG-13 - Teens 13 or older,24 min per ep,Sports,,Shounen,Lay-duce,,
Sword Art Online the Movie: Progressive - Aria of a Starless Night,7.94,118332,842.0,981,288601,2162,1.0,Movie,Light novel,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 37 min,"Action, Adventure, Fantasy",Video Game,,A-1 Pictures,"Aniplex, Bandai Namco Entertainment, Egg Firm, Straight Edge, Kadokawa, Sonilude",Aniplex of America
Tekkonkinkreet,7.94,48246,843.0,2071,124971,1593,1.0,Movie,Manga,Finished Airing,,,R - 17+ (violence & profanity),1 hr 50 min,"Action, Adventure, Award Winning, Supernatural, Suspense",Psychological,Seinen,Studio 4°C,"Aniplex, Tokyo MX, Beyond C.",Sony Pictures Entertainment
Wagnaria!!3,7.94,135031,844.0,1075,264751,965,13.0,TV,4-koma manga,Finished Airing,2015.0,summer,PG-13 - Teens 13 or older,23 min per ep,"Comedy, Romance","Love Status Quo, Workplace",Seinen,A-1 Pictures,Aniplex,Aniplex of America
Wotakoi: Love is Hard for Otaku OVA,7.94,118361,845.0,1212,235761,525,3.0,OVA,Web manga,Finished Airing,,,PG-13 - Teens 13 or older,23 min per ep,Romance,"Adult Cast, Otaku Culture, Workplace",,"A-1 Pictures, Lapin Track","Aniplex, Half H.P Studio, Fujipacific Music",
Call of the Night,7.94,360357,846.0,297,786659,10827,13.0,TV,Manga,Finished Airing,2022.0,summer,PG-13 - Teens 13 or older,22 min per ep,"Romance, Supernatural",Vampire,Shounen,LIDENFILMS,"Aniplex, Dentsu, Shogakukan-Shueisha Productions, Animax, Fuji TV, Ultra Super Pictures, Shogakukan, Fuji Creative, Tohan Corporation",Sentai Filmworks
Jade Dynasty 2nd Season,7.94,1312,847.0,10726,3524,27,26.0,ONA,Web novel,Finished Airing,,,PG-13 - Teens 13 or older,20 min per ep,"Action, Adventure, Fantasy","Historical, Martial Arts",,Cloud Art,Tencent Video,
Aikatsu! 10th Story: Mirai e no Starway (2023),7.93,872,848.0,11191,3115,33,1.0,Movie,Original,Finished Airing,,,PG - Children,48 min,,"Idols (Female), Music",,Bandai Namco Pictures,,
Jade Dynasty 3rd Season,7.94,639,848.0,13476,1602,11,26.0,ONA,Web novel,Finished Airing,,,PG-13 - Teens 13 or older,20 min per ep,"Action, Adventure, Fantasy","Historical, Martial Arts",,Cloud Art,Tencent Video,
My Hero Academia: Heroes Rising,7.93,372304,849.0,394,636334,1853,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 44 min,Action,Super Power,Shounen,Bones,"Dentsu, Yomiuri Telecasting, Movic, TOHO, Sony Music Entertainment, Nippon Television Network, Shueisha, Toho Music",Funimation
"Clannad: Another World, Tomoyo Chapter",7.93,211758,850.0,887,321106,885,1.0,Special,Visual novel,Finished Airing,,,PG-13 - Teens 13 or older,23 min,"Drama, Romance",School,,Kyoto Animation,Pony Canyon,Sentai Filmworks
Fate/kaleid liner Prisma Illya: Vow in the Snow,7.93,51473,851.0,2323,105880,385,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 29 min,"Action, Fantasy",,,SILVER LINK.,"Lantis, AT-X, KlockWorx, Sony Music Communications, Tokyo MX, Glovision, Kadokawa Media House, Kadokawa, Plusone",Sentai Filmworks
My Melody & Kuromi,7.93,3097,852.0,8232,7420,59,12.0,ONA,Other,Finished Airing,,,PG - Children,12 min per ep,Fantasy,,,Wit Studio,"Sanrio, Netflix",
A Lull in the Sea,7.93,269296,853.0,390,639682,9578,26.0,TV,Original,Finished Airing,2013.0,fall,PG-13 - Teens 13 or older,23 min per ep,"Drama, Fantasy, Romance","Love Polygon, Urban Fantasy",,P.A. Works,"Geneon Universal Entertainment, Sotsu, Animax, Rondo Robe, Showgate, Infinite",NIS America
Patema Inverted,7.93,145564,854.0,881,323428,1527,1.0,Movie,Original,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 38 min,"Adventure, Award Winning, Sci-Fi",,,"Studio Rikka, Purple Cow Studio Japan","Directions, Asmik Ace, Good Smile Company, Kadokawa",GKIDS
Akagi,7.93,48671,855.0,2200,114727,1470,26.0,TV,Manga,Finished Airing,2005.0,fall,R - 17+ (violence & profanity),23 min per ep,Suspense,"Adult Cast, High Stakes Game, Organized Crime, Psychological, Strategy Game",Seinen,Madhouse,"VAP, Nippon Television Network, Arts Pro",
Fabulous Beasts 3rd Season,7.93,493,857.0,14925,1123,8,12.0,ONA,Manga,Finished Airing,,,PG-13 - Teens 13 or older,6 min per ep,"Comedy, Fantasy",,,Fenz,,
Honkai: Star Rail - The Embers of Glamoth,7.92,1677,858.0,10745,3522,8,1.0,ONA,Game,Finished Airing,,,PG-13 - Teens 13 or older,6 min,"Action, Fantasy, Sci-Fi",,,,miHoYoAnime,
Sailor Moon S,7.92,83699,860.0,1702,159374,1555,38.0,TV,Manga,Finished Airing,1994.0,spring,PG-13 - Teens 13 or older,24 min per ep,Romance,Mahou Shoujo,Shoujo,Toei Animation,"TV Asahi, Toei Advertising","VIZ Media, Geneon Entertainment USA"
Dead Dead Demons Dededede Destruction,7.92,25525,861.0,3004,70001,632,17.0,ONA,Manga,Finished Airing,,,PG-13 - Teens 13 or older,23 min per ep,"Drama, Sci-Fi",School,Seinen,Production +h.,"TV Tokyo, GAGA, Tohokushinsha Film Corporation, Sony Music Entertainment, Toy's Factory, Shogakukan, GrandFunk",
Milky☆Subway: The Galactic Limited Express,7.92,9122,862.0,5457,20999,97,12.0,TV,Original,Finished Airing,2025.0,summer,PG-13 - Teens 13 or older,3 min per ep,"Comedy, Sci-Fi",Space,,Shin-Ei Animation,"Bit grooove promotion, YURUPPE Inc.",
Is the Order a Rabbit? Bloom,7.92,26620,863.0,2937,72999,502,12.0,TV,4-koma manga,Finished Airing,2020.0,fall,PG-13 - Teens 13 or older,24 min per ep,Slice of Life,"CGDCT, Iyashikei, Workplace",,Encourage Films,,Sentai Filmworks
Hidamari Sketch x ☆☆☆,7.92,14337,864.0,4635,31137,150,12.0,TV,4-koma manga,Finished Airing,2010.0,winter,PG-13 - Teens 13 or older,24 min per ep,Slice of Life,"CGDCT, Iyashikei, School, Visual Arts",,Shaft,"Aniplex, Lantis, TBS, Movic, Houbunsha, Omnibus Promotion",Sentai Filmworks
Hikaru no Go: Hokuto Hai e no Michi,7.92,13656,865.0,4974,26167,39,1.0,Special,Manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 17 min,,Strategy Game,Shounen,Studio Pierrot,Dentsu,
Hug tto! Precure,7.92,17998,866.0,4581,31889,318,49.0,TV,Original,Finished Airing,2018.0,winter,G - All Ages,24 min per ep,Action,Mahou Shoujo,,Toei Animation,"Asahi Broadcasting, ABC Animation, Echoes",
Nobody's Boy Remi,7.92,5928,867.0,5576,19733,358,51.0,TV,Novel,Finished Airing,1977.0,fall,G - All Ages,24 min per ep,"Adventure, Drama",Historical,Kids,"Madhouse, TMS Entertainment",,"AnimEigo, ImaginAsian Entertainment"
Sans Famille,7.92,9680,868.0,5157,24008,137,23.0,TV,Novel,Finished Airing,1996.0,fall,G - All Ages,23 min per ep,"Adventure, Drama",Historical,,Nippon Animation,Fuji TV,
Initial D Third Stage,7.92,128501,869.0,1355,209220,745,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 44 min,"Action, Drama",Racing,Seinen,Studio Deen,OB Planning,Funimation
