title,score,scored_by,rank,popularity,members,favorites,episodes,type,source,status,year,season,rating,duration,genres,themes,demographics,studios,producers,licensors
Kaguya-sama: Love is War?,8.61,966550,107.0,96,1511234,19096,12.0,TV,Manga,Finished Airing,2020.0,spring,PG-13 - Teens 13 or older,24 min per ep,"Comedy, Romance",School,Seinen,A-1 Pictures,"Aniplex, Mainichi Broadcasting System, Shueisha, JR East Marketing & Communications",Aniplex of America
Natsume's Book of Friends Season 6,8.61,76785,109.0,1370,206800,1161,11.0,TV,Manga,Finished Airing,2017.0,spring,PG-13 - Teens 13 or older,23 min per ep,"Slice of Life, Supernatural","Iyashikei, Mythology",Shoujo,Shuka,"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha",
Bungo Stray Dogs 5,8.6,123315,111.0,1082,263442,3013,11.0,TV,Manga,Finished Airing,2023.0,summer,R - 17+ (violence & profanity),23 min per ep,"Action, Mystery","Adult Cast, Detective, Organized Crime, Super Power, Vampire",Seinen,Bones,"WOWOW, Lantis, Movic, Glovision, Crunchyroll, Sunrise Music, Kadokawa, Sony Music Solutions, Bandai Namco Music Live",
Chiikawa,8.6,6921,112.0,5296,22560,793,,TV,Web manga,Currently Airing,2022.0,spring,G - All Ages,1 min,Slice of Life,,,Doga Kobo,,Sentai Filmworks
Made in Abyss: Dawn of the Deep Soul,8.6,307705,113.0,470,542036,4005,1.0,Movie,Web manga,Finished Airing,,,R - 17+ (violence & profanity),1 hr 45 min,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Gore,,Kinema Citrus,"AT-X, Takeshobo, Kadokawa Media House, Cygames, Kanetsu Investment, Kadokawa, Global Solutions, Sony Music Solutions, IRMA LA DOUCE",Sentai Filmworks
Mushoku Tensei: Jobless Reincarnation Part 2,8.6,714745,114.0,158,1135044,19280,12.0,TV,Light novel,Finished Airing,2021.0,fall,R - 17+ (violence & profanity),23 min per ep,"Adventure, Drama, Fantasy, Ecchi","Isekai, Reincarnation",,Studio Bind,"Frontier Works, TOHO, TOHO animation, Tokyo MX, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Kadokawa, GREE Entertainment",Funimation
Delicious in Dungeon,8.59,307655,115.0,422,596595,13045,24.0,TV,Manga,Finished Airing,2024.0,winter,R - 17+ (violence & profanity),25 min per ep,"Adventure, Comedy, Fantasy, Gourmet",,Seinen,Trigger,"Ultra Super Pictures, Good Smile Company, Tencent Japan, Kadokawa",
Made in Abyss: The Golden City of the Scorching Sun,8.59,264216,116.0,469,544658,6941,12.0,TV,Web manga,Finished Airing,2022.0,summer,R - 17+ (violence & profanity),25 min per ep,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Gore,,Kinema Citrus,"AT-X, Takeshobo, Kadokawa Media House, Cygames, Kadokawa, Global Solutions, Sony Music Solutions, IRMA LA DOUCE",Sentai Filmworks
Rascal Does Not Dream of a Dreaming Girl,8.59,524327,117.0,273,828854,11317,1.0,Movie,Light novel,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 30 min,"Drama, Romance, Supernatural",School,,CloverWorks,"Aniplex, Tokyo MX, Hakuhodo DY Music & Pictures, Nagoya Broadcasting Network, BS11, ABC Animation, Kadokawa",Aniplex of America
The Disappearance of Haruhi Suzumiya,8.59,330497,118.0,377,652464,14405,1.0,Movie,Light novel,Finished Airing,,,PG-13 - Teens 13 or older,2 hr 41 min,"Award Winning, Mystery, Sci-Fi, Supernatural",School,,Kyoto Animation,"Lantis, Kadokawa Shoten, Rakuonsha, Animation Do","Funimation, Bandai Entertainment"
JoJo's Bizarre Adventure: Golden Wind,8.58,794231,119.0,142,1182597,35494,39.0,TV,Manga,Finished Airing,2018.0,fall,R - 17+ (violence & profanity),23 min per ep,"Action, Adventure","Organized Crime, Super Power",Shounen,David Production,"Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha",VIZ Media
