title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
X-Men: Next Dimension,GC,Fighting,Activision,EXAKT Entertainment,7.0,0.13,0.1,,0.03,0.0,2002-10-15
Fire ProWrestling,GBA,Fighting,BAM! Entertainment,Spike,8.0,0.13,0.09,,0.03,0.0,2001-06-10
Open Season,DS,Platform,Ubisoft,Ubisoft Montreal,7.4,0.13,0.12,,0.0,0.01,2006-09-19
Little Battlers eXperience: Wars,3DS,Strategy,Level 5,Level 5,,0.13,,0.13,,,2013-10-31
MegaTagmension Blanc + Neptune VS Zombies,PSV,Action,Idea Factory International,Compile Heart,,0.13,0.04,0.06,0.01,0.02,2016-05-10
Song of the Deep,XOne,Action,Insomniac Games,Insomniac Games,,0.13,0.12,,,0.01,2016-07-12
Space Camp,Wii,Action,Activision,7 Studios,,0.13,0.12,,0.0,0.01,2009-05-26
Superman: The Man of Steel,XB,Action,Atari,Circus Freak,,0.13,0.1,,0.03,0.0,2002-11-19
Tales of the Heroes: Twin Brave,PSP,Action,Namco Bandai Games,Bandai Namco Games,,0.13,,0.13,,,2012-02-23
Kung-Fu: High Impact,X360,Action,Unknown,Virtual Air Guitar Company,,0.13,0.08,,0.05,0.01,2011-11-15
The History Channel: Great Battles - Medieval,X360,Strategy,Slitherine Software,Slitherine Software,,0.13,0.08,,0.04,0.01,2011-05-09
Record of Agarest War Zero,PS3,Strategy,Aksys Games,Compile Heart,6.2,0.13,0.09,0.03,,0.01,2011-06-14
Grand Theft Auto: San Andreas,XBL,Action,Rockstar Games,Rockstar North,,0.13,0.09,,0.02,0.01,2008-10-20
Outlast Trinity,XOne,Action,Warner Bros. Interactive Entertainment,Red Barrels,,0.13,0.1,,0.02,0.01,2017-04-25
Army Men: Green Rogue,PS2,Shooter,3DO,3DO,,0.13,0.06,,0.05,0.02,2001-03-25
Yu-Gi-Oh! Nightmare Troubadour (JP sales),DS,Action,Konami,Konami,,0.13,,0.1,0.03,,2005-08-30
Tamagotchi no Pichi Pichi Omisecchi,DS,Action,Namco Bandai,Bandai Namco Games,,0.13,,0.13,,,2010-06-17
Warriors Orochi 2,PS2,Action,KOEI,Omega Force,4.3,0.13,0.06,,0.05,0.02,2008-09-23
Assault: Retribution,PS,Action,Midway Games,Candle Light Studios,,0.13,0.07,,0.05,0.01,1998-10-31
Chessmaster: The Art of Learning,PSP,Action,Ubisoft,Unknown,,0.13,0.11,,0.0,0.02,2008-02-12
Tomb Raider: Legend,XB,Action,Eidos Interactive,Crystal Dynamics,8.3,0.13,0.1,,0.03,0.0,2006-04-11
Gladiator Begins,PSP,Action,Aksys Games,Acquire,,0.13,0.05,0.05,0.01,0.01,2010-09-14
Adventure Time: Finn & Jake Investigations,X360,Action,Little Orbit,Vicious Cycle,,0.13,0.05,,0.07,0.01,2015-10-20
Teenage Mutant Ninja Turtles: Arcade Attack,DS,Action,Ubisoft,Ubisoft,4.3,0.13,0.12,,0.0,0.01,2009-11-10
Shining Force III,SAT,Strategy,Sega,Camelot Software Planning,,0.13,,0.13,,,1998-05-31
Akiba's Trip: Undead & Undressed,PS3,Action,Xseed Games,Acquire,,0.13,0.06,0.04,0.01,0.02,2014-08-12
NightCaster,XB,Action,Microsoft,Jaleco Entertainment,,0.13,0.1,,0.03,0.0,2002-01-21
Hitman 2: Silent Assassin,GC,Action,Eidos Interactive,IO Interactive,8.3,0.13,0.1,,0.03,0.0,2003-06-19
Sengoku Basara 3 Utage,Wii,Action,Capcom,Capcom,,0.13,,0.13,,,2011-11-10
Spartan: Total Warrior,XB,Action,Sega,The Creative Assembly,7.0,0.13,0.1,,0.03,0.0,2005-10-25
Advent Rising,XB,Action,Majesco,GlyphX Games,,0.13,0.1,,0.03,0.0,2005-05-31
Otogi: Myth of Demons,XB,Action,Sega,From Software,,0.13,0.08,0.03,0.02,0.0,2003-08-27
Green Lantern: Rise of the Manhunters,3DS,Action,Warner Bros. Interactive,Griptonite Games,,0.13,0.09,,0.03,0.01,2011-06-07
Mission: Impossible - Operation Surma,XB,Action,Atari,Paradigm Entertainment,,0.13,0.1,,0.03,0.0,2003-12-02
Hyperdimension Neptunia U: Action Unleashed,PSV,Action,Idea Factory International,Compile Heart,,0.13,0.04,0.06,0.01,0.02,2015-05-19
Nobunaga no Yabou: Tendou,PS3,Strategy,KOEI,Koei,,0.13,,0.13,,,2010-03-04
Sentou Kokka Air Land Battle,PS,Strategy,Sony Computer Entertainment,Marionette,,0.13,,0.13,,0.01,1995-12-01
Lord of the Rings: Tactics,PSP,Strategy,Electronic Arts,Amaze Entertainment,6.9,0.13,0.11,,0.02,0.01,2005-11-08
Destroy All Humans! Big Willy Unleashed,Wii,Action,THQ,Locomotive Games,5.3,0.13,0.12,,0.0,0.01,2008-02-25
The Inpatient,PS4,Action,Sony Interactive Entertainment,Supermassive Games Ltd.,,0.13,0.06,,0.05,0.02,2018-01-23
Over the Hedge: Hammy Goes Nuts!,DS,Platform,Activision,Amaze Entertainment,,0.13,0.12,,0.0,0.01,2006-10-24
Frogger Beyond,GC,Platform,Konami,Konami,,0.13,0.1,,0.03,0.0,2002-12-06
Mega Man Anniversary Collection,XB,Platform,Capcom,Atomic Planet Entertainment,,0.13,0.1,,0.03,0.0,2005-03-15
Castlevania: Legacy of Darkness,N64,Platform,Konami,KCEK,,0.13,0.06,0.05,0.02,0.0,1999-11-30
Mega Man IV,GB,Platform,Capcom,Capcom,,0.13,,0.13,,,1993-01-01
Whiplash,PS2,Platform,Eidos Interactive,Crystal Dynamics,,0.13,0.06,,0.05,0.02,2003-11-18
Spider-Man: Battle for New York,DS,Platform,Activision,Torus Games,,0.13,0.12,,,0.01,2006-11-14
Paw Patrol on a Roll,NS,Platform,Outright Games,Outright Games,,0.13,,,0.12,0.01,2018-10-23
Ape Escape 3,PS2,Platform,Sony Computer Entertainment,SCE Japan Studio,7.8,0.13,0.06,,0.05,0.02,2006-01-17
Walt Disney Pictures Presents: The Wild,GBA,Platform,Buena Vista,Climax Group,,0.13,0.09,,0.03,0.0,2006-09-08
