PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
Keegan Murray,SAC,24.0,76,34.3,12.4,6.7,1.4,0.8,0.9,0.8,0.444,0.343,0.833,0.6,80,225,2022,1,4
Kel'el Ware,MIA,21.0,64,22.2,9.3,7.4,0.9,0.6,1.1,0.9,0.554,0.315,0.687,0.6,84,230,2024,1,15
Keldon Johnson,SAS,25.0,77,23.9,12.7,4.8,1.6,0.6,0.3,1.0,0.482,0.318,0.773,-2.8,77,220,2019,1,29
Kelly Olynyk,NOP,34.0,44,20.2,8.7,4.7,2.9,0.8,0.4,1.7,0.5,0.418,0.769,-1.3,83,240,2013,1,13
Kelly Oubre Jr.,PHI,29.0,60,34.6,15.1,6.1,1.8,1.5,0.5,1.3,0.47,0.293,0.751,-4.3,80,203,2015,1,15
Kenrich Williams,OKC,30.0,69,16.4,6.3,3.5,1.4,0.6,0.1,0.6,0.483,0.386,0.718,4.8,78,210,Undrafted,Undrafted,Undrafted
Kentavious Caldwell-Pope,MEM,32.0,77,29.6,8.7,2.2,1.8,1.3,0.4,0.8,0.439,0.342,0.863,0.1,77,204,2013,1,8
Keon Ellis,SAC,25.0,80,24.4,8.3,2.7,1.5,1.5,0.8,0.9,0.489,0.433,0.849,0.8,76,175,Undrafted,Undrafted,Undrafted
Keon Johnson,BKN,23.0,79,24.4,10.6,3.8,2.2,1.0,0.4,1.5,0.389,0.314,0.77,-5.4,77,185,2021,1,21
Kessler Edwards,DAL,24.0,40,15.2,4.2,2.9,1.1,0.5,0.5,0.4,0.496,0.407,0.923,-4.0,79,203,2021,2,44
Kevin Durant,PHX,36.0,62,36.5,26.6,6.0,4.2,0.8,1.2,3.1,0.527,0.43,0.839,-0.6,83,240,2007,1,2
Kevin Huerter,CHI,26.0,69,24.3,9.9,3.0,2.3,1.0,0.3,1.0,0.425,0.338,0.714,1.5,79,198,2018,1,19
