pl_name,hostname,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,sy_dist
Kepler-408 b,Kepler-408,0.82,5.0,2.46502,0.03592,1561.0,6104.0,1.23,1.08,Transit,2014.0,88.7832
rho CrB c,rho CrB,5.68,,102.036,0.4206,448.1,5817.0,1.3617,1.0,Radial Velocity,2016.0,17.4671
Kepler-19 d,Kepler-19,5.06,22.5,62.95,,,5544.0,0.859,0.936,Radial Velocity,2017.0,218.562
TOI-1107 b,TOI-1107,14.57167491,1064.72516345,4.0782387,0.0561,1728.0,6311.0,1.81,1.35,Transit,2022.0,281.314
Kepler-164 d,Kepler-164,2.45,,28.986769,0.187,637.0,5888.0,1.148,1.036,Transit,2014.0,890.758
TOI-2537 c,TOI-2537,12.7,,1920.0,2.78,123.1,4870.0,0.771,0.771,Radial Velocity,2024.0,184.986
TOI-1873 b,TOI-1873,2.86356397,,7.00572708834,,923.5,5597.99,0.971675,1.015,Transit,2026.0,182.014
TOI-2267 b,TOI-2267 A,1.0,,2.28909,0.0205,424.0,3030.0,0.2075,0.171,Transit,2025.0,22.55
KMT-2021-BLG-0852L b,KMT-2021-BLG-0852L,14.2,155.73591943,,7.78,,,,0.75,Microlensing,2026.0,7230.0
CoRoT-4 b,CoRoT-4,13.34,228.83,9.20205,0.09,1074.0,6190.0,1.17,1.16,Transit,2008.0,726.412
Kepler-935 b,Kepler-935,1.35,,4.88083852,0.0527,879.0,4830.0,0.73,0.78,Transit,2016.0,471.782
Kepler-917 b,Kepler-917,1.91,,2.970414375,0.0378,991.0,5418.0,0.76,0.8,Transit,2016.0,3460.51
Kepler-1760 b,Kepler-1760,2.28995546,,38.3260994,0.2084,480.0,5229.0,0.903,0.821,Transit,2021.0,
DMPP-9 b,DMPP-9,3.89,,12.733,0.1097,,6092.0,1.26,1.1,Radial Velocity,2026.0,109.539
51 Eri b,51 Eri,,3464.3296363,9100.0,10.4,807.0,7422.0,1.45,1.75,Imaging,2015.0,29.7575
Kepler-164 b,Kepler-164,1.41,,5.03503,0.058,1141.0,5888.0,1.148,1.036,Transit,2014.0,890.758
Kepler-549 d,Kepler-549,4.2,,24.61480613,0.1575,586.0,5312.0,0.986,0.859,Transit,2023.0,635.145
Kepler-1773 b,Kepler-1773,3.50469499,,40.80970001,0.24831,623.0,6183.0,1.3,1.241,Transit,2021.0,681.255
Kepler-1009 b,Kepler-1009,2.17,,11.35011917,0.0796,403.0,4027.0,0.57,0.59,Transit,2016.0,355.019
Kepler-1035 b,Kepler-1035,1.17,,2.714077555,0.03883,1301.0,5763.0,0.97,0.98,Transit,2016.0,562.116
Kepler-322 c,Kepler-322,1.67,,4.337234,0.051,996.0,5388.0,0.89,0.908,Transit,2014.0,400.48
Kepler-66 b,Kepler-66,2.8,,17.815815,0.1352,699.0,5962.0,0.966,1.038,Transit,2013.0,1202.96
Kepler-479 b,Kepler-479,2.12,,12.49341307,0.09636,649.0,5247.0,0.81,0.86,Transit,2016.0,344.901
KOI-351 d,KOI-351,2.87,,59.73667,0.32,520.0,6080.0,1.2,1.2,Transit,2013.0,848.254
Kepler-908 b,Kepler-908,1.22,,1.340597468,0.02526,1783.0,5973.0,1.12,1.11,Transit,2016.0,290.843
Kepler-1677 b,Kepler-1677,2.70216183,,22.064,0.1599,712.0,6013.72,1.24959,1.11,Transit,2020.0,735.369
Kepler-473 b,Kepler-473,4.08,,14.55731705,0.12048,879.0,5816.0,1.34,1.06,Transit,2016.0,905.937
KOI-1783.01,KOI-1783,8.86,71.0,134.4628,0.52661,412.0,5922.0,1.143,1.076,Transit,2020.0,865.73
HD 109988 b,HD 109988,12.1,6935.333669147,17132.15854,12.518,,5185.97,0.869694,0.88,Radial Velocity,2022.0,42.5279
Kepler-909 b,Kepler-909,1.47,,13.93290318,0.11873,852.0,6154.0,1.23,1.17,Transit,2016.0,309.596
HD 11112 b,HD 11112,12.6,2598.565055632,17244.90764,13.38,,5905.64,1.47368,1.07,Radial Velocity,2022.0,44.3804
HATS-27 b,HATS-27,16.8135,168.4499,4.637038,0.0611,1659.0,6438.0,1.74,1.415,Transit,2016.0,816.988
HD 11505 b,HD 11505,12.6,2510.526586893,32669.22247,20.247,,5757.15,1.19568,1.03,Radial Velocity,2022.0,38.9679
HD 122562 c,HD 122562,10.1,,84.96276,0.406,,4956.0,2.16627,1.241,Radial Velocity,2022.0,53.2528
HD 135872 b,HD 135872,12.8,1744.560126023,2422.32597,4.172,,4992.0,3.93038,1.646,Radial Velocity,2022.0,82.4251
HD 113337 c,HD 113337,12.1,6299.676855147,5429.93477,6.805,,6774.0,1.5,1.41,Radial Velocity,2020.0,36.18
HD 151450 c,HD 151450,12.8,1636.180639236,18144.76236,14.131,,6091.98,1.17184,1.14,Radial Velocity,2022.0,43.6002
HD 188641 b,HD 188641,11.9,9333.031171555,14583.81038,12.027,,5897.32,1.94492,1.07,Radial Velocity,2022.0,64.3399
HD 13724 c,HD 13724,8.18,,142.22895,0.534,,5835.31,1.04198,1.004,Radial Velocity,2022.0,43.465
Ross 508 b,Ross 508,1.83,,10.77,0.05366,,3071.0,0.2113,0.1774,Radial Velocity,2022.0,11.2103
