RECIPIENT NAME,RECIPIENT CITY NAME,RECIPIENT COUNTY CODE,RECIPIENT COUNTY NAME,RECIPIENT STATE CODE,RECIPIENT ZIP CODE,TYPE OF RECIPIENT,TYPE OF ACTION,RECIPIENT CONGRESSIONAL DISTRICT,FEDERAL AGENCY/ORGANIZATIONAL UNIT CODE,FEDERAL FUNDING AMOUNT,NON-FEDERAL FUNDING AMOUNT,TOTAL FUNDING AMOUNT,OBLIGATION ACTION DATE,STARTING DATE,ENDING DATE,TYPE OF ASSISTANCE TRANSACTION,RECORD TYPE,CORRECTION/LATE INDICATOR,FISCAL YEAR AND QUARTER CORRECTION,PRINCIPAL PLACE OF PERFORMANCE: STATE,PRINCIPAL PLACE OF PERFORMANCE: COUNTY OR CITY,CFDA PROGRAM TITLE,FEDERAL AGENCY NAME,STATE NAME FOR RECIPIENT,PROJECT DESCRIPTION
MONTANA STATE UNIVERSITY SYSTE,BOZEMAN,031,GALLATIN COUNTY,MONTANA,597170001,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),00,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",471900,0,471900,06/22/2010,01/31/2007,01/31/2013,"other reimbursable, contingent, intangible, or indirect financial assistance",action-by-action reporting,NA,NA,MONTANA,BOZEMAN,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",MONTANA,TAS: :97 0400: :TAS        TECHLINK CORE EFFORT
MONTANA STATE UNIVERSITY SYSTE,BOZEMAN,031,GALLATIN COUNTY,MONTANA,597170001,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),00,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",1500000,0,1500000,05/03/2010,02/11/2009,02/11/2014,"other reimbursable, contingent, intangible, or indirect financial assistance",action-by-action reporting,NA,NA,MONTANA,BOZEMAN,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",MONTANA,TAS: :97 90400: :TAS        MILTECH CORE EFFORT
MONTANA STATE UNIVERSITY SYSTE,BOZEMAN,031,GALLATIN COUNTY,MONTANA,597170001,Government codes: State controlled institutions of higher education,new assistance action,00,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",174967,0,174967,04/02/2010,04/15/2010,04/14/2013,project grant  (B),action-by-action reporting,NA,NA,MONTANA,BOZEMAN,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",MONTANA,"TAS::57 3600::TAS ATMOSPHERIC POLARIZATION IMAGING WITH VARIABLE AEROSOLS, CLOUDS, AND SURFACE ALBEDO"""
TRUSTEES OF DARTMOUTH COLLEGE,HANOVER,009,GRAFTON COUNTY,NEW HAMPSHIRE,037554099,Private: private higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),02,"NAVY, DEPARTMENT OF THE",50000,0,50000,06/18/2010,06/18/2010,01/31/2013,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,HANOVER,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"NAVY, DEPARTMENT OF THE",NEW HAMPSHIRE,COMPREHENSIVE NUMERICAL STUDY OF ULF MAGNETOSPHERE-IONOSPHERE INTERACTIONS TRIGGERED BY HIGH-POWER HF WAVES TRANSMITTED FROM HAARP.
TRUSTEES OF PRINCETON UNIVERSI,PRINCETON,021,MERCER COUNTY,NEW JERSEY,085440001,Private: private higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",150000,0,150000,04/22/2010,05/01/2010,04/30/2013,project grant  (B),action-by-action reporting,NA,NA,NEW JERSEY,PRINCETON,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW JERSEY,"TAS::57 3600::TAS DYNAMICAL IMAGING USING SPATIAL NONLINEEARITY (THE GRANTEE'S TECHNICAL PROPOSAL); THE RESEARCH TERMS AND  CONDITIONS, 1 JULY 2008"
TRUSTEES OF PRINCETON UNIVERSI,PRINCETON,021,MERCER COUNTY,NEW JERSEY,085440001,Private: private higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",192708,0,192708,04/22/2010,05/01/2010,04/30/2013,project grant  (B),action-by-action reporting,NA,NA,NEW JERSEY,PRINCETON,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW JERSEY,TAS::57 3600::TAS DEVELOPING NEW MATERIALS FRO CONVERTING SOLAR ENERGY TO FUELS VIA QUANTUM MECHANICS DATED 13 FEB 09
TRUSTEES OF PRINCETON UNIVERSI,PRINCETON,021,MERCER COUNTY,NEW JERSEY,085440001,Private: private higher education,revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding),90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",2202986,0,2202986,04/29/2010,05/01/2010,04/30/2011,project grant  (B),action-by-action reporting,NA,NA,NEW JERSEY,PRINCETON,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW JERSEY,"TAS::57 3600::TAS TERRORISM GOVERNANCE AND DEVELOPMENT"""
TRUSTEES OF PRINCETON UNIVERSI,PRINCETON,021,MERCER COUNTY,NEW JERSEY,085440001,Private: private higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",175000,0,175000,05/11/2010,05/15/2010,04/14/2013,project grant  (B),action-by-action reporting,NA,NA,NEW JERSEY,PRINCETON,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW JERSEY,"TAS::57 3600::TAS PHOTOELECTROCHEMICAL CONVERSION OF CARBON DIOXIDE TO ALCOHOLS: FORMATION CARBON-BASED FUELS VIA CARBON-CARBON BOND FORMATION"""
"RUTGERS, THE STATE UNIVERSITY",NEW BRUNSWICK,023,MIDDLESEX COUNTY,NEW JERSEY,089018552,Government codes: State controlled institutions of higher education,revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding),90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",250000,0,250000,04/26/2010,09/01/2010,08/31/2011,project grant  (B),action-by-action reporting,NA,NA,NEW JERSEY,NEW BRUNSWICK,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW JERSEY,"TAS::57 3600::TAS (DCT) A DYNAMICALLY RECONFIGURABLE ZNO NANO/CMOS HYBRID SYSTEM"""
"TELCORDIA TECHNOLOGIES, INC",PINKNEYVILLE,037,SUSSEX COUNTY,NEW JERSEY,088544182,Private: profit organization,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",75000,0,75000,06/08/2010,08/15/2010,08/14/2015,project grant  (B),action-by-action reporting,NA,NA,NEW JERSEY,PINKNEYVILLE,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW JERSEY,"TAS::57 3600::TAS APPLICATIONS TO NETWORK DYNAMICS OF POSITIVE MEASURES AND PRODUCT FORMALISMS: ANALYSIS, SYNTHESIS, VISUALIZATION AND MISSING DATA"""
UNIVERSITY OF NEW MEXICO,ALBUQUERQUE,001,BERNALILLO COUNTY,NEW MEXICO,871310001,Government codes: State controlled institutions of higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",149999,0,149999,04/02/2010,04/15/2010,04/14/2015,project grant  (B),action-by-action reporting,NA,NA,NEW MEXICO,ALBUQUERQUE,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW MEXICO,"TAS::57 3600::TAS HETEROGENEOUS MATERIAL INTEGRATION AND BAND ENGINEERING WITH INAS/GASB TYPE II SUPERLATTICES"""
UNIVERSITY OF NEW MEXICO,ALBUQUERQUE,001,BERNALILLO COUNTY,NEW MEXICO,871310001,Government codes: State controlled institutions of higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",180000,0,180000,04/07/2010,04/15/2010,04/14/2013,project grant  (B),action-by-action reporting,NA,NA,NEW MEXICO,ALBUQUERQUE,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW MEXICO,TAS::57 3600::TAS BIOCOMPATIBLE AND BIMIMETIC SELF-ASSEMBLY OF FUNCTIONAL NANOSTRUCTURES DATED  26 MAY 2009
UNIVERSITY OF NEW MEXICO,ALBUQUERQUE,001,BERNALILLO COUNTY,NEW MEXICO,871310001,Government codes: State controlled institutions of higher education,revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding),90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",10000,0,10000,04/22/2010,04/21/2010,12/14/2010,project grant  (B),action-by-action reporting,NA,NA,NEW MEXICO,ALBUQUERQUE,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW MEXICO,"TAS::57 3600::TAS THREE DIMENSIONAL HIGH-RESOLUTION RECONSTRUCTION OF THE IONOSPHERE OVER THE VERY LARGE ARRAY
12.800,SAI NOT AVAILABLE,UNIVERSITY OF NEW MEXICO,02000,ALBUQUERQUE,001,BERNALILLO COUNTY,NEW MEXICO,871310001,Government codes: State controlled institutions of higher education,revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding),90,AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF),FA95500410356   0009,"",49874,"",0,"",49874,05/10/2010,05/01/2010,08/14/2010,project grant  (B),action-by-action reporting,"","",3502000,NEW MEXICO,ALBUQUERQUE,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF),NEW MEXICO,TAS::57 3600::TAS (MURI) CONSORTIUM FOR LASER COOLING SOLIDS"""
UNIVERSITY OF NEW MEXICO,ALBUQUERQUE,001,BERNALILLO COUNTY,NEW MEXICO,871310001,Government codes: State controlled institutions of higher education,revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding),90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",199989,0,199989,06/29/2010,08/15/2010,08/14/2011,project grant  (B),action-by-action reporting,NA,NA,NEW MEXICO,ALBUQUERQUE,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW MEXICO,"TAS::57 3600::TAS(MURI) CONSORTIUM FOR LASER COOLING SOLIDS"""
UNIVERSITY OF NEW MEXICO,ALBUQUERQUE,001,BERNALILLO COUNTY,NEW MEXICO,871310001,Government codes: State controlled institutions of higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",120000,0,120000,06/02/2010,06/01/2010,05/31/2011,project grant  (B),action-by-action reporting,NA,NA,NEW MEXICO,ALBUQUERQUE,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW MEXICO,"TAS::57 3600::TAS (DURIP) INSTRUMENTATION FOR ALL-SOLID-STATE OPTICAL CRYOCOOLER PROJECT"""
UNIVERSITY OF NEW MEXICO,ALBUQUERQUE,001,BERNALILLO COUNTY,NEW MEXICO,871310001,Government codes: State controlled institutions of higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",93663,0,93663,06/02/2010,06/01/2010,05/31/2013,project grant  (B),action-by-action reporting,NA,NA,NEW MEXICO,ALBUQUERQUE,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW MEXICO,"TAS::57 3600::TAS ULTRALOW NOISE MONOLITHIC QUANTUM DOT PHOTONIC OSCILLATORS"""
NEW MEXICO STATE UNIVERSITY,LAS CRUCES,013,DONA ANA COUNTY,NEW MEXICO,880031239,Government codes: State controlled institutions of higher education,funding adjustment to completed project,02,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",1142,0,1142,06/03/2010,07/09/2007,07/31/2010,project grant  (B),action-by-action reporting,NA,NA,NEW MEXICO,LAS CRUCES,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW MEXICO,"IN ACCORDANCE WITH ATTACHMENT 1, STATEMENT OF WORK ENTITLED: PICTURES FROM WORDS, PICTURES FROM TEXT:  CONSTRUCTION PICTORIAL REPRESENTATIONS OF MEA"
NEW MEXICO STATE UNIVERSITY,LAS CRUCES,013,DONA ANA COUNTY,NEW MEXICO,880031239,Government codes: State controlled institutions of higher education,revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding),02,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",131741,0,131741,04/01/2010,08/01/2010,07/31/2011,project grant  (B),action-by-action reporting,NA,NA,NEW MEXICO,LAS CRUCES,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW MEXICO,"TAS::57 36::TAS LASER-BASED NAVIGATION AND GEO-LOCATION"""
POLYTECHNIC UNIVERSITY,BROOKLYN,047,KINGS COUNTY,NEW YORK,112013840,Private: private higher education,revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding),90,"ARMY,DEPT. OF THE (EXC. CORPS OF ENGINEERS CIVIL PROGRAM)",155649,0,155649,06/03/2010,06/15/2010,06/14/2011,project grant  (B),action-by-action reporting,NA,NA,NEW YORK,BROOKLYN,BASIC SCIENTIFIC RESEARCH,"ARMY,DEPT. OF THE (EXC. CORPS OF ENGINEERS CIVIL PROGRAM)",NEW YORK,PROPOSAL FOR DEFENSE UNIVERSITY RESEARCH INSTRUMENTATION PROGRAM
THE RESEARCH FOUNDATION OF STA,SYRACUSE,067,ONONDAGA COUNTY,NEW YORK,132102712,Government codes: State controlled institutions of higher education,revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding),25,"ARMY,DEPT. OF THE (EXC. CORPS OF ENGINEERS CIVIL PROGRAM)",45656,0,45656,04/22/2010,07/01/2008,12/31/2010,project grant  (B),action-by-action reporting,NA,NA,NEW YORK,SYRACUSE,BASIC SCIENTIFIC RESEARCH,"ARMY,DEPT. OF THE (EXC. CORPS OF ENGINEERS CIVIL PROGRAM)",NEW YORK,COLLECTIVE STRUCTURAL DEFENSE OF THE MOUND-BUILDING TERMITES OF THE GENUS MACROTERMES
STATE UNIVERSITY OF NEW YORK,AMHERST,029,ERIE COUNTY,NEW YORK,142282567,Government codes: State controlled institutions of higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",150000,0,150000,04/21/2010,04/15/2010,04/14/2011,project grant  (B),action-by-action reporting,NA,NA,NEW YORK,AMHERST,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW YORK,"TAS::57 3600::TAS METAL-INDUCED GROWTH OF SI THIN FILMS AND NISI NANOWIRES"""
UNIVERSITY OF ROCHESTER,ROCHESTER,055,MONROE COUNTY,NEW YORK,146420001,Private: private higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",182605,0,182605,06/15/2010,06/15/2010,06/14/2011,project grant  (B),action-by-action reporting,NA,NA,NEW YORK,ROCHESTER,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW YORK,"TAS::57 3600::TAS (DURIP FY10) ENHANCING CHARACTERIZATION CAPACITY STUDYING ULTRAFAST ULTRAINTENSE LASER PULSE-MATTER INTERACTIONS: FROM MOLECULE TO
12.800,SAI NOT AVAILABLE,NEW YORK UNIVERSITY (INC),51000,NEW YORK,061,NEW YORK COUNTY,NEW YORK,100121019,Private: private higher education,new assistance action,90,AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF),FA95501010158,"",123871,"",0,"",123871,04/22/2010,05/01/2010,04/30/2013,project grant  (B),action-by-action reporting,"","",3651000,NEW YORK,NEW YORK,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF),NEW YORK,TAS::57 3600::TAS VISCOUS FLOW ALGORITHMS FOR EMBEDDED-BOUNDARY CARTESIAN GRIDS DATED 15 MAY 2009"
RESEARCH FOUNDATION OF THE CIT,NEW YORK,061,NEW YORK COUNTY,NEW YORK,100367207,Government codes: State controlled institutions of higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",150072,0,150072,04/07/2010,04/01/2010,03/31/2014,project grant  (B),action-by-action reporting,NA,NA,NEW YORK,NEW YORK,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW YORK,"TAS::57 3600::TAS BOTTOM-UP RECONSTRUCTION OF MOLECULAR COMPONENTS OF NATURAL PHOTOSYNTHESIS IN A PHOTOELECTROCHEMICAL SYSTEM FOR HYDROGEN GENERATIO
12.800,SAI NOT AVAILABLE,THE RESEARCH FOUNDATION OF STA,71608,STONY BROOK,103,SUFFOLK COUNTY,NEW YORK,117940001,Government codes: State controlled institutions of higher education,new assistance action,90,AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF),FA95501010171,"",7500,"",0,"",7500,05/05/2010,07/01/2010,12/31/2010,project grant  (B),action-by-action reporting,"","",3671608,NEW YORK,STONY BROOK,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF),NEW YORK,TAS::57 3600::TAS A WORKSHOP ON CIRCUITS OF THE CIRCADIAN SYSTEM"""
"CORNELL UNIVERSITY, INC",ITHACA,109,TOMPKINS COUNTY,NEW YORK,148532801,Private: private higher education,revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding),90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",200000,0,200000,04/22/2010,09/15/2010,09/14/2011,project grant  (B),action-by-action reporting,NA,NA,NEW YORK,ITHACA,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW YORK,"TAS::57 3600::TAS (PECASE) LARGE-SCALE SINGLE LAYER GRAPHENE - SYTHESIS AND BOLOMETRIC DEVICE APPLICATIONS"""
THE RESEARCH FOUNDATION OF STA,NEW PALTZ,111,ULSTER COUNTY,NEW YORK,125612400,Government codes: State controlled institutions of higher education,new assistance action,22,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",28515,0,28515,05/07/2010,05/15/2010,01/14/2013,project grant  (B),action-by-action reporting,NA,NA,NEW YORK,NEW PALTZ,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW YORK,"TAS :: 57 3600 :: TAS ATOM TRANSISTORS, 16 JUNE 2009"""
RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE,063,DURHAM COUNTY,NORTH CAROLINA,277092194,Government codes: city or township government,new assistance action,04,DEPT. OF AGRIC.-FOOD SAFETY AND INSPECTION SERVICE,74716,0,74716,10/01/2008,10/01/2008,09/30/2009,"direct payment for specified use, such as a subsidy or other nonreimbursable direct financial aid  (C)",action-by-action reporting,late reporting of an action occurring in a prior quarter,20091,DISTRICT OF COLUMBIA,WASHINGTON,COOPERATIVE AGREEMENTS WITH STATES FOR INTRASTATE MEAT AND POULTRY INSPE,DEPT. OF AGRIC. - FOOD SAFETY AND INSPECTION SERVICE,NORTH CAROLINA,TASK ORDER FOR FOOD DEFENSE GUIDANCE FOR THE CATFISH INDUSTRY
DUKE UNIVERSITY,DURHAM,063,DURHAM COUNTY,NORTH CAROLINA,277089900,Government codes: State controlled institutions of higher education,new assistance action,04,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",102480,0,102480,06/28/2010,07/01/2010,06/30/2013,project grant  (B),action-by-action reporting,NA,NA,NORTH CAROLINA,DURHAM,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NORTH CAROLINA,TAS::57 3600::TAS CTAIR: CONSTRUCTAL TREE STRUCTURES FOR MECHANICAL STRENGTH AND COOLING OF AIRCRAFT DATED 1 APRIL 2009; THE RESE
WAKE FOREST UNIVERSITY,WINSTON-SALEM,067,FORSYTH COUNTY,NORTH CAROLINA,271098758,Private: private higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",4000,0,4000,05/13/2010,05/13/2010,05/17/2011,project grant  (B),action-by-action reporting,NA,NA,NORTH CAROLINA,WINSTON-SALEM,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NORTH CAROLINA,"TAS::57 3600::TAS  THE SECOND US/AFRICA SUMMER SCHOOL ON MATERIALS TUTORIALS IN RETICULAR CHEMISTRY, METAL ORGANIC FRAMEWORKS, AND HYBRID INORGANIC"
NORTH CAROLINA STATE UNIVERSIT,RALEIGH,183,WAKE COUNTY,NORTH CAROLINA,276950001,Government codes: State controlled institutions of higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",169573,0,169573,04/01/2010,04/01/2010,03/31/2013,project grant  (B),action-by-action reporting,NA,NA,NORTH CAROLINA,RALEIGH,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NORTH CAROLINA,"TAS::57 3600::TAS THEORETICAL, COMPUTATIONAL, AND EXPERIMENTAL STUDIES OF THE AERODYNAMICS OF PERCHING FLIGHT"""
CASE WESTERN RESERVE UNIVERSIT,CLEVELAND,035,CUYAHOGA COUNTY,OHIO,441061712,Private: private higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",120000,0,120000,04/22/2010,05/01/2010,04/30/2013,project grant  (B),action-by-action reporting,NA,NA,OHIO,CLEVELAND,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",OHIO,TAS::57 3600::TAS (YIP) MICROPLASMA-ASSISTED DISSOCIATION OF CHEMICAL PERCURSORS FOR NANOMATERIALS SYNTHESIS AND PROCESSING DATED 27 JULY 2009
CASE WESTERN RESERVE UNIVERSIT,CLEVELAND,035,CUYAHOGA COUNTY,OHIO,441061712,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",14381,0,14381,04/06/2010,04/17/2009,04/16/2011,project grant  (B),action-by-action reporting,NA,NA,OHIO,CLEVELAND,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",OHIO,TAS #573600 - SHOCK INDUCED COMPRESSION AND SHEAR RESPONSE OF MODEL ENERGETIC MATERIALS
OHIO AEROSPACE INSTITUTE,CLEVELAND,035,CUYAHOGA COUNTY,OHIO,441421012,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",233000,0,233000,05/11/2010,07/09/2004,12/06/2010,cooperative agreement  (B),action-by-action reporting,NA,NA,OHIO,CLEVELAND,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",OHIO,"THE STATEMENT OF WORK ENTITLED, COMPUTATIONAL SCIENCES INITIATIVE, DATED 15 MAR 2010, IS ATTACHMENT 4 TO THE AGREEMENT."
OHIO STATE UNIVERSITY RESEARCH,COLUMBUS,049,FRANKLIN COUNTY,OHIO,432101016,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",50899,0,50899,04/02/2010,12/01/2009,11/30/2010,project grant  (B),action-by-action reporting,NA,NA,OHIO,COLUMBUS,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",OHIO,"TAS::57 3600::TAS  (YIP-09) SPATIO-TEMPORAL CHARACTERISTICS OF SCALAR MIXING AND DISSIPATION PROCESSES IN TURBULENT JETS AND FLAMES"""
OHIO STATE UNIVERSITY RESEARCH,COLUMBUS,049,FRANKLIN COUNTY,OHIO,432101016,Government codes: State controlled institutions of higher education,revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding),90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",160430,0,160430,04/23/2010,07/15/2010,07/14/2011,project grant  (B),action-by-action reporting,NA,NA,OHIO,COLUMBUS,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",OHIO,"TAS::57 3600::TAS NETWORKS OF MEMORIES"""
